S,fluidColumn,An,Rem,Dfn,colIndex,cdrag
0.6,15,1.9634954084936205,2796.6194663542537,1.0228215767634854,0,0.8740684936863682
0.6,15,1.9634954084936205,2796.6194663542537,1.0228215767634854,1,1.742793814748696
0.6,15,1.9634954084936205,2796.6194663542537,1.0228098146104374,2,1.6718968431937975
0.6,15,1.9634954084936205,2446.2580776687632,1.0228004937451765,3,1.8031604626059037
0.6,15,1.9634954084936205,2128.060403227895,1.0227948346082032,4,1.7916939528381977
0.6,15,1.9634954084936205,1909.1783055296983,1.022793597110295,5,1.698409653672581
0.6,15,1.9634954084936205,1857.8832179530286,1.0227906673653298,6,1.75553460228534
0.6,15,1.9634954084936205,1730.3945881752331,1.0227889830918018,7,1.8294879273335265
0.6,15,1.9634954084936205,1652.6581647239677,1.022787853921787,8,1.5578407908166318
0.6,15,1.9634954084936205,1598.4271909070776,1.0227880069202828,9,1.7991612581095078
0.6,15,1.9634954084936205,1605.882533976747,1.0227862940978054,10,1.6547549309240872
0.6,15,1.9634954084936205,1520.3353530283928,1.0227865828580764,11,1.6755613173122461
0.6,15,1.9634954084936205,1535.0916019142658,1.0227869499278062,12,1.7340574044437655
0.6,15,1.9634954084936205,1553.6473639929613,1.0227858472495195,13,1.5812562190652826
0.6,15,1.9634954084936205,1497.2139041560476,1.0227861946769286,14,1.302478738371017
0.6,15,1.9634954084936205,2796.6194663542537,1.0228215767634854,0,0.8740684936863682
0.6,15,1.9634954084936205,2796.6194663542537,1.0228215767634854,1,1.742793814748696
0.6,15,1.9634954084936205,2796.6194663542537,1.0228092425900386,2,1.6718977782255307
0.6,15,1.9634954084936205,2446.25563341787,1.0227993497044459,3,1.8031624795107966
0.6,15,1.9634954084936205,2128.0561505931378,1.0227931185471784,4,1.7916969589751237
0.6,15,1.9634954084936205,1909.1725826820139,1.022791309028971,5,1.6984134531763257
0.6,15,1.9634954084936205,1857.8757925033747,1.0227878072637377,6,1.755539511424142
0.6,15,1.9634954084936205,1730.3859432832307,1.022785550969942,7,1.829494066475306
0.6,15,1.9634954084936205,1652.6482568914025,1.0227838497796615,8,1.5578468896770474
0.6,15,1.9634954084936205,1598.4160110775833,1.0227834307578725,9,1.799169307960407
0.6,15,1.9634954084936205,1605.8696974409509,1.0227811459151575,10,1.6547632601552782
0.6,15,1.9634954084936205,1520.321681220815,1.0227808626551473,11,1.6755706883819494
0.6,15,1.9634954084936205,1535.0762635830743,1.0227806577045933,12,1.7340680724947986
0.6,15,1.9634954084936205,1553.6302878914469,1.0227789830060732,13,1.5812668314535103
0.6,15,1.9634954084936205,1497.1959523315786,1.0227787584132024,14,1.3024882082346765
0.6,15,1.9634954084936205,2796.6194663542537,1.0228215767634854,0,0.8740684936863682
0.6,15,1.9634954084936205,2796.6194663542537,1.0228215767634854,1,1.742793814748696
0.6,15,1.9634954084936205,2796.6194663542537,1.0228075265288417,2,1.6719005833270066
0.6,15,1.9634954084936205,2446.2483006780917,1.0227959175822758,3,1.803168530252509
0.6,15,1.9634954084936205,2128.043392733844,1.0227879703641674,4,1.791705977446314
0.6,15,1.9634954084936205,1909.1554142298041,1.0227844447851278,5,1.698424851789346
0.6,15,1.9634954084936205,1857.8535163116194,1.0227792269591751,6,1.755554239004917
0.6,15,1.9634954084936205,1730.360008836045,1.022775254604683,7,1.829512484147285
0.6,15,1.9634954084936205,1652.6185337084437,1.0227718373537338,8,1.5578651865441353
0.6,15,1.9634954084936205,1598.3824720034713,1.0227697022712396,9,1.799193457944259
0.6,15,1.9634954084936205,1605.8311883773358,1.022765701367983,10,1.6547882483507175
0.6,15,1.9634954084936205,1520.280666449664,1.0227637020473215,11,1.6755988022184205
0.6,15,1.9634954084936205,1535.0302494017587,1.02276178103613,12,1.7341000774334896
0.6,15,1.9634954084936205,1553.5790605816471,1.0227583902771433,13,1.581298669470715
0.6,15,1.9634954084936205,1497.1420979990237,1.022756449623691,14,1.3025166186497754
0.6,15,1.9634954084936205,2795.9117133529903,1.0228215767634854,0,0.8746571275795855
0.6,15,1.9634954084936205,2795.9117133529903,1.0228215767634854,1,1.7420555826578379
0.6,15,1.9634954084936205,2795.9117133529903,1.0228046599351386,2,1.6742577586452574
0.6,15,1.9634954084936205,2445.2196846155925,1.02279017806872,3,1.8053235183115728
0.6,15,1.9634954084936205,2126.383140946786,1.0227793620838337,4,1.789761614850778
0.6,15,1.9634954084936205,1906.9450730637054,1.0227730245356723,5,1.6892700310083004
0.6,15,1.9634954084936205,1857.5982942670473,1.022765122494465,6,1.7605079561630086
0.6,15,1.9634954084936205,1738.000795778185,1.0227584135717973,7,1.8801274455049177
0.6,15,1.9634954084936205,1666.4094860139974,1.0227517083649003,8,1.5986982580827793
0.6,15,1.9634954084936205,1591.7870072940188,1.0227462485431635,9,1.7975299147058428
0.6,15,1.9634954084936205,1576.4161390035933,1.0227394014148146,10,1.582913640153596
0.6,15,1.9634954084936205,1489.904191024691,1.0227350403934692,11,1.675879520724266
0.6,15,1.9634954084936205,1530.5745068789452,1.0227301589249849,12,1.6712625846427738
0.6,15,1.9634954084936205,1544.102386601734,1.0227244155176205,13,1.5807227203168226
0.6,15,1.9634954084936205,1513.7012454604328,1.0227194990776984,14,1.3184826205170908
0.6,15,1.9634954084936205,2795.9117133529903,1.0228215767634854,0,0.8746571275795855
0.6,15,1.9634954084936205,2795.9117133529903,1.0228215767634854,1,1.7420555826578379
0.6,15,1.9634954084936205,2795.9117133529903,1.022800655792346,2,1.674264313165045
0.6,15,1.9634954084936205,2445.2025821488733,1.0227821697839061,3,1.8053376538189598
0.6,15,1.9634954084936205,2126.353396060029,1.0227673496575571,4,1.7897826356425137
0.6,15,1.9634954084936205,1906.9050601800457,1.0227570079681985,5,1.6892964852953132
0.6,15,1.9634954084936205,1857.54632442218,1.0227451017862939,6,1.7605424189201135
0.6,15,1.9634954084936205,1737.9400160218934,1.0227343887232305,7,1.8801716112019575
0.6,15,1.9634954084936205,1666.339554777541,1.0227236793763168,8,1.5987420723564953
0.6,15,1.9634954084936205,1591.7090744596073,1.0227142154147528,9,1.7975862163644214
0.6,15,1.9634954084936205,1576.3279331363317,1.0227033641471435,10,1.582969417698239
0.6,15,1.9634954084936205,1489.810405302248,1.0226949989864358,11,1.6759451361561346
0.6,15,1.9634954084936205,1530.4674562077976,1.02268611337898,12,1.6713345633976382
0.6,15,1.9634954084936205,1543.9835903366925,1.0226763658331504,13,1.5807969893920488
0.6,15,1.9634954084936205,1513.5742013354668,1.0226674452548843,14,1.3185497313467456
0.6,15,1.9634954084936205,2795.9117133529903,1.0228215767634854,0,0.8746571275795855
