S,Rem,Prandtl,colIndex,nusselt
0.6,2827.3880968302433,0.7098435803104706,1,-0.0
0.6,2827.3880968302433,0.7098425470122862,2,-0.0
0.6,2356.407250519208,0.7098419553337095,3,-0.0
0.6,2038.3156064467748,0.7098417017943763,4,-0.0
0.6,1885.6637003940587,0.7098415838937977,5,-0.0
0.6,1810.299409824782,0.7098414805429146,6,-0.0
0.6,1741.5557738985979,0.7098413171815656,7,-0.0
0.6,1626.9842641070097,0.7098412279413864,8,-0.0
0.6,1560.8495434834012,0.709841201255562,9,-0.0
0.6,1540.5217773605543,0.7098412429235109,10,-0.0
0.6,2827.3880968302433,0.7098435803104706,1,59.409080457615545
0.6,2827.3880968302433,0.7098425092050787,2,70.36659531592139
0.6,2356.404896043516,0.7098418797205743,3,69.58879242489827
0.6,2038.3115331516585,0.7098415883755312,4,61.65925807846923
0.6,1885.6580480305115,0.7098414326692453,5,53.75857212741126
0.6,1810.2921745512624,0.7098412915128657,6,44.35749318208521
0.6,1741.5470732448105,0.7098410903466527,7,40.29678648600393
0.6,1626.97451018848,0.709840963301448,8,36.26478128297521
0.6,1560.838626477914,0.7098408988103008,9,32.466681392043796
0.6,1540.5094632763664,0.7098409026723784,10,29.00480652900288
0.6,2827.3880968302433,0.7098435803104706,1,52.17776060102645
0.6,2827.3880968302433,0.7098423957836927,2,46.904979825281
0.6,2356.3978326288698,0.7098416528821176,3,41.37512751352116
0.6,2038.299313309392,0.7098412481211311,4,37.02260592101414
0.6,1885.6410910295972,0.7098409789993857,5,33.34912675927753
0.6,1810.270468883887,0.7098407244286524,6,29.602391987138848
0.6,1741.5209715137464,0.7098404098504597,7,27.226856463125433
0.6,1626.945248742738,0.7098401693932657,8,25.127112346563752
0.6,1560.8058758660807,0.7098399914897126,9,23.03415515374329
0.6,1540.4725215454425,0.709839881938214,10,21.606671665053213
0.6,2827.3880968302433,0.7098435803104706,1,51.1940591097959
0.6,2827.3880968302433,0.7098422067488387,2,44.17717795076178
0.6,2356.3860603125568,0.7098412748211851,3,38.67518062773134
0.6,2038.278947049217,0.7098406810375829,4,34.85461284688464
0.6,1885.6128296604882,0.7098402228956109,5,31.470735826229486
0.6,1810.2342932821912,0.7098397793080778,6,27.785598066740274
0.6,1741.4774693962834,0.7098392757186243,7,25.600003112637964
0.6,1626.8964806993013,0.7098388462517379,8,23.595757661685095
0.6,1560.7512928617416,0.7098384793393804,9,21.76676583701514
0.6,1540.410953732649,0.7098381807787102,10,20.577576642216773
0.6,2827.3880968302433,0.7098435803104706,1,50.91417189337673
0.6,2827.3880968302433,0.709841942101701,2,43.49836222162195
0.6,2356.369579156721,0.7098407455425202,3,37.8729987953166
0.6,2038.2504345865343,0.7098398871355636,4,34.0293066132903
0.6,1885.573264371797,0.709839164376907,5,30.759880840685113
0.6,1810.1836485120464,0.7098384561808113,6,27.16913559298992
0.6,1741.4165680438348,0.7098376879938739,7,25.115838189260288
0.6,1626.8282076072828,0.7098369939350236,8,23.217924587475373
0.6,1560.6748794878413,0.7098363624352702,9,21.374690901018873
0.6,1540.3247624459102,0.7098357992900142,10,20.266162117164825
0.6,2827.3880968302433,0.7098435803104706,1,50.52448732924435
0.6,2827.3880968302433,0.7098416006080354,2,43.08381712066828
0.6,2356.3483122812313,0.7098400625810648,3,37.49377433971456
0.6,2038.2136430709318,0.7098388627225963,4,33.649816434515216
0.6,1885.5222110254108,0.7098377985267661,5,30.373413272876654
0.6,1810.1182991419537,0.7098367489097083,6,26.914906128128397
0.6,1741.3379846710197,0.7098356393218349,7,24.907031090296417
0.6,1626.7401128169781,0.7098346038749012,8,22.984399082970867
0.6,1560.5762817488069,0.7098336309986886,9,21.204425321360645
0.6,1540.2135488530434,0.7098327264863298,10,20.108552568790422
0.6,2827.3880968302433,0.7098435803104706,1,50.457193379902684
0.6,2827.3880968302433,0.709841184494694,2,42.8218431396705
0.6,2356.32239834471,0.7098392303946429,3,37.28518608604944
0.6,2038.1688125754436,0.7098376144916578,4,33.439049211570335
0.6,1885.46000302634,0.7098361342775102,5,30.254715948871514
0.6,1810.0386722833618,0.7098346686706166,6,26.779470899929564
0.6,1741.24223330026,0.7098331431260348,7,24.787145336819854
0.6,1626.6327730323148,0.7098316917467793,8,22.887032377588806
0.6,1560.4561456269435,0.7098303029611338,9,21.12296412932327
0.6,1540.0780421801715,0.7098289825594664,10,20.03811260673292
0.6,2827.3880968302433,0.7098435803104706,1,50.35068131690465
0.6,2827.3880968302433,0.7098406927754719,2,42.72814030945628
0.6,2356.2917759047277,0.7098382470161371,3,37.1769565296524
0.6,2038.11583704222,0.7098361394999821,4,33.32620548870494
0.6,1885.386493533451,0.7098341677159826,5,30.124412214861422
0.6,1809.9445803974359,0.7098322105852486,6,26.713265251309124
0.6,1741.1290889200768,0.7098301935683267,7,24.702605403959726
