S,Vmfn,Rem,Dfn,colIndex,frictionFactor
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0228046599351386,2,4.5236695831650895
0.6,0.20725746132047523,2445.2196846155925,1.02279017806872,3,5.368436928816636
0.6,0.18587245836717378,2126.383140946786,1.0227793620838337,4,7.2122614338690605
0.6,0.18106456698724788,1906.9450730637054,1.0227730245356723,5,5.611732730264293
0.6,0.16940944993334342,1857.5982942670473,1.022765122494465,6,6.527966670866887
0.6,0.16243308025142503,1738.000795778185,1.0227584135717973,7,6.886077448750887
0.6,0.15516107970795784,1666.4094860139974,1.0227517083649003,8,6.773710681129666
0.6,0.15366425397737898,1591.7870072940188,1.0227462485431635,9,6.084554131279889
0.6,0.14523306926625973,1576.4161390035933,1.0227394014148146,10,8.037965896725202
0.6,0.14919867201608858,1489.904191024691,1.0227350403934692,11,7.764630896873789
0.6,0.15051863788037245,1530.5745068789452,1.0227301589249849,12,6.730494539387943
0.6,0.1475566241079068,1544.102386601734,1.0227244155176205,13,7.309660088744721
0.6,0.1487168455768274,1513.7012454604328,1.0227194990776984,14,8.439374685397109
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.022800655792346,2,4.523687292792919
0.6,0.20725746132047523,2445.2025821488733,1.0227821697839061,3,5.368478963155131
0.6,0.18587245836717378,2126.353396060029,1.0227673496575571,4,7.212346142047116
0.6,0.18106456698724788,1906.9050601800457,1.0227570079681985,5,5.611820611056328
0.6,0.16940944993334342,1857.54632442218,1.0227451017862939,6,6.528094458832275
0.6,0.16243308025142503,1737.9400160218934,1.0227343887232305,7,6.886239208216247
0.6,0.15516107970795784,1666.339554777541,1.0227236793763168,8,6.773896322924394
0.6,0.15366425397737898,1591.7090744596073,1.0227142154147528,9,6.084744709743425
0.6,0.14523306926625973,1576.3279331363317,1.0227033641471435,10,8.038249132645515
0.6,0.14919867201608858,1489.810405302248,1.0226949989864358,11,7.76493490417461
0.6,0.15051863788037245,1530.4674562077976,1.02268611337898,12,6.730784411620481
0.6,0.1475566241079068,1543.9835903366925,1.0226763658331504,13,7.310003527659106
0.6,0.1487168455768274,1513.5742013354668,1.0226674452548843,14,8.43980424997998
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0227954889091695,2,4.5237101452243405
0.6,0.20725746132047523,2445.1805135492,1.022771836018806,3,5.368533204578874
0.6,0.18587245836717378,2126.3150142661666,1.0227518490115122,4,7.212455451089
0.6,0.18106456698724788,1906.85342927637,1.0227363404418095,5,5.6119340151136425
0.6,0.16940944993334342,1857.4792652447768,1.022719267380463,6,6.528259361799228
0.6,0.16243308025142503,1737.8615895493103,1.022703387438605,7,6.886447951302773
0.6,0.15516107970795784,1666.249320434422,1.0226875112136435,8,6.774135887191536
0.6,0.15366425397737898,1591.608516129609,1.022672880374534,9,6.0849906468090555
0.6,0.14523306926625973,1576.2141201074216,1.0226568622303684,10,8.038614645268552
0.6,0.14919867201608858,1489.6893933794306,1.0226433301932312,11,7.765327225528465
0.6,0.15051863788037245,1530.3293294701623,1.0226292777101071,12,6.731158495017476
0.6,0.1475566241079068,1543.8303094255511,1.022614363289521,13,7.310446743429317
0.6,0.1487168455768274,1513.4102795032643,1.0226002758369126,14,8.440358617852414
0.6,0.2717075823912941,2787.76989311289,1.0228215767634854,1,5.271038872795578
0.6,0.23727747868417431,2787.76989311289,1.0227891471625095,2,4.551653696542032
0.6,0.2075084882274746,2434.3727778566495,1.0227596054268437,3,5.474279123480896
0.6,0.18705186990956338,2128.8448916043376,1.022733548788004,4,6.6760760614473105
0.6,0.1758199717732446,1918.8915942096748,1.0227101858856986,5,6.59299266080977
0.6,0.16833791772288745,1803.5943607870822,1.0226878347338133,6,6.656314997716614
0.6,0.1629838872250476,1726.774622556688,1.0226660236623388,7,6.527016253643687
0.6,0.15335254494616696,1671.7904184690913,1.0226433544855384,8,6.966708158875009
0.6,0.15338470128549334,1572.9356305072126,1.0226227459825845,9,6.276534804828314
0.6,0.14647420023413057,1573.208822267193,1.0226007338356107,10,7.846670416841203
0.6,0.1485415416624353,1502.272663080179,1.0225805298622832,11,7.614730359183622
0.6,0.14957832428039342,1523.422019163144,1.0225601230925336,12,6.889787364169475
0.6,0.14753795268507214,1534.000437732912,1.0225390992494,13,7.28517741528646
0.6,0.14851353452818328,1513.0198402971014,1.0225186788235399,14,8.407383910555827
0.6,0.2717075823912941,2787.76989311289,1.0228215767634854,1,5.271038872795578
0.6,0.23727747868417431,2787.76989311289,1.022781707158628,2,4.551686806560458
0.6,0.2075084882274746,2434.341141109943,1.0227447254218904,3,5.474358769259993
0.6,0.18705186990956338,2128.7895592867867,1.0227112287843891,4,6.6762217624405436
0.6,0.1758199717732446,1918.8167813348466,1.022680425885506,5,6.593184516894905
0.6,0.16833791772288745,1803.5006039225814,1.0226506347390716,6,6.656557128190602
0.6,0.1629838872250476,1726.6624182943663,1.0226213836750495,7,6.5273011742675395
0.6,0.15335254494616696,1671.660060913872,1.0225912745079764,8,6.967062969260781
0.6,0.15338470128549334,1572.7925397362076,1.0225632260163022,9,6.276900140809941
0.6,0.14647420023413057,1573.0452618083023,1.0225337738830327,10,7.847184250899722
0.6,0.1485415416624353,1502.0969546146987,1.0225061299248337,11,7.61528442477388
0.6,0.14957832428039342,1523.2240393396767,1.0224782831722314,12,6.890338827861235
0.6,0.14753795268507214,1533.7811480580942,1.022449819348473,13,7.28581355400502
0.6,0.14851353452818328,1512.783887434966,1.0224219589436987,14,8.408179238898
0.6,0.2717075823912941,2787.76989311289,1.0228215767634854,1,5.271038872795578
0.6,0.23727747868417431,2787.76989311289,1.0227731231139485,2,4.551725008466659
0.6,0.2075084882274746,2434.304640067071,1.0227275573365213,3,5.474450664954029
0.6,0.18705186990956338,2128.725720158871,1.0226854766618605,4,6.676389875594371
0.6,0.1758199717732446,1918.7304677690904,1.02264608972897,5,6.593405888313539
0.6,0.16833791772288745,1803.392435519134,1.0226077145516168,6,6.656836512626764
0.6,0.1629838872250476,1726.5329685104393,1.0225698794597338,7,6.527629937642897
0.6,0.15335254494616696,1671.5096695795908,1.022531186268173,8,6.967472383228828
0.6,0.15338470128549334,1572.6274603444483,1.022494553754551,9,6.27732170680056
0.6,0.14647420023413057,1572.856569504223,1.0224565176028786,10,7.847777180040934
0.6,0.1485415416624353,1501.8942502106863,1.0224202896286687,11,7.615923788328217
0.6,0.14957832428039342,1522.9956446181886,1.0223838588631329,12,6.890975198904885
