COEFICIENTE,CROSSOVER_PROBABILITY,Correlation,GENERATIONS,MR,MUTATION_PROBABILITY,N_CELDAS,N_ROWS_CORR,N_ROWS_TRAIN,POPULATION_SIZE,check_minimum_fitness,crossover_tries,grad_calculations,grad_descendant,mutation_tries,optimizeConstant_each,Best fitness,Best phenotype,Total time
1.0,0.75,0.0,200.0,1.0,0.05,102.0,100.0,1000.0,500.0,0.0,50.0,5.0,20.0,50.0,50.0,0.08402505489396378,((((((0.729))*(((S)**(0.551)))))+((((An)/(An)))))),29983.6506690979
2.0,0.75,0.0,200.0,1.0,0.05,102.0,100.0,1000.0,500.0,0.0,50.0,5.0,20.0,50.0,50.0,,,
3.0,0.75,0.0,200.0,1.0,0.05,102.0,100.0,1000.0,500.0,0.0,50.0,5.0,20.0,50.0,50.0,,,
